ticker,entry_date,exit_date,entry_px,exit_px,days_held,ret_net,weight,bet_eur,bet_frac,div_eur,exit_reason
GEF,2007-01-04,2007-01-19,58.375,53.26499938964844,10,-0.09118004862447882,1.0,10002.08925,0.1,0.0,stop
AEIS,2007-01-04,2007-01-19,18.889999389648438,16.8799991607666,10,-0.10997276454179816,1.0,10012.79529647827,0.1,0.0,stop
ADEA,2007-01-04,2007-01-29,17.759967803955078,16.717817306518555,16,-0.06243751696601485,1.0,10018.859597373963,0.1,0.0,egg
MLKN,2007-01-04,2007-01-29,37.29999923706055,37.220001220703125,16,-0.006128173196709108,1.0,10016.39259512329,0.1,0.0,egg
ETR,2007-01-04,2007-01-29,47.040000915527344,45.75,16,-0.03130602928156334,1.0,9992.42515447998,0.1,0.0,egg
CMCSA,2007-01-04,2007-02-06,13.448922157287598,13.367697715759277,22,-0.010007382204450743,1.0,10012.534261190414,0.1,0.0,sma
MS,2007-01-05,2007-02-13,80.86000061035156,80.33000183105469,26,-0.010520373768240443,1.0,9965.671635223389,0.1,33.21,sma
UCTT,2007-01-19,2007-02-20,13.760000228881836,13.430000305175781,21,-0.027878829432737118,1.0,9913.227044895171,0.1,0.0,sma
CNS,2007-02-20,2007-02-27,48.79999923706055,41.25,5,-0.15808750033513075,1.0,10024.007843284608,0.1,0.0,stop
RHP,2007-01-04,2007-02-28,51.650001525878906,52.25,37,0.007578230943393827,1.0,9988.387195083618,0.1,0.0,sma
AMT,2007-01-29,2007-02-28,39.540000915527344,39.310001373291016,21,-0.009785677452302965,1.0,9865.151148422241,0.1,0.0,sma
MIDD,2007-01-29,2007-02-28,14.793510437011719,14.562885284423828,21,-0.019519398347936923,1.0,9901.829101867675,0.1,0.0,sma
KMX,2007-02-06,2007-03-01,28.7450008392334,26.09000015258789,16,-0.0959872083251263,1.0,10138.476776000976,0.1,0.0,stop
LMT,2007-01-04,2007-03-05,91.69000244140625,94.95999908447266,40,0.03152922601612196,1.0,10014.198686645508,0.1,38.15,sma
CBRL,2007-01-29,2007-03-06,46.11000061035156,45.619998931884766,25,-0.014576391970705038,1.0,9887.275210876465,0.1,0.0,sma
APOG,2007-02-28,2007-03-06,20.979999542236328,19.139999389648438,4,-0.09134448892251146,1.0,9522.947672218323,0.1,0.0,stop
ATI,2007-02-13,2007-03-08,99.72000122070312,101.0,16,0.00879267103679493,1.0,9991.944122314453,0.1,0.0,egg
HAS,2007-03-06,2007-03-28,29.299999237060547,29.65999984741211,16,0.008245645857981154,1.0,9277.317358428954,0.1,0.0,egg
SYK,2007-01-04,2007-04-03,55.599998474121094,67.5999984741211,61,0.210973741880766,0.4972067039106145,9972.304526321412,0.1,0.0,strength
LII,2007-03-28,2007-04-25,35.7400016784668,33.90999984741211,19,-0.05499079461730216,1.0,9991.40338922882,0.1,0.0,sma
HLIT,2007-03-05,2007-04-27,9.170000076293945,8.800000190734863,38,-0.044179893508048074,1.0,9344.541857746124,0.1,0.0,breakeven
OI,2007-02-28,2007-04-27,23.760000228881836,29.850000381469727,41,0.25129791316922656,0.5,9523.00809173584,0.1,0.0,strength
SYK,2007-01-04,2007-05-01,55.599998474121094,65.2699966430664,80,0.16923452443061326,0.5027932960893855,9972.304526321412,0.1,0.0,sma
CE,2007-02-28,2007-05-03,28.579999923706055,34.900001525878906,45,0.21625893125595996,0.5,9507.53709461975,0.1,6.640000000000001,strength
EL,2007-03-01,2007-05-04,23.454999923706055,23.899999618530273,45,0.014904733142079074,1.0,9588.779248809815,0.1,0.0,sma
LNT,2007-04-03,2007-05-14,22.329999923706055,22.135000228881836,28,-0.012689788184467865,1.0,10135.72094536972,0.1,72.027,sma
CAR,2007-04-27,2007-05-21,28.639999389648438,28.200000762939453,16,-0.019293767172836374,1.0,10273.626021057129,0.1,0.0,egg
ES,2007-03-08,2007-05-24,29.239999771118164,31.549999237060547,54,0.07469395972269921,1.0,9609.901364776611,0.1,0.0,sma
MAT,2007-03-06,2007-05-31,27.059999465942383,27.75,60,0.02140510356154479,1.0,9300.142976451874,0.1,0.0,sma
CLF,2007-05-01,2007-06-01,34.244998931884766,45.20000076293945,22,0.31463171389445055,0.49830508474576274,10122.479234275817,0.1,9.1875,strength
BDC,2007-05-14,2007-06-06,57.9900016784668,56.400001525878906,16,-0.03130108306156576,1.0,10284.758757682801,0.1,8.85,egg
RS,2007-05-21,2007-06-13,61.779998779296875,56.279998779296875,16,-0.09266220082425713,1.0,10461.701433288574,0.1,13.52,stop
IT,2007-05-24,2007-06-18,27.0,26.149999618530273,16,-0.035347836944880084,1.0,10415.79,0.1,0.0,egg
DCH,2007-02-27,2007-06-22,24.65999984741211,29.889999389648438,81,0.2072456698706655,0.5,9982.5652182312,0.1,60.599999999999994,strength
FCN,2007-05-31,2007-06-26,37.08000183105469,35.97999954223633,18,-0.03353923840641082,1.0,10514.627799224854,0.1,0.0,sma
